id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc
sim_239,0.43887528487420263,1782376592213,10.372693652835194,-68.49785151910419,2.5,us6000t7zc,1,2026-06-25 08:36:32
sim_221,0.44581531975160765,1782377191832,10.410427051945474,-68.45024026118261,2.3,us6000t7zc,1,2026-06-25 08:46:31
sim_340,0.49019261713950685,1782381026031,10.94115771989141,-68.22193288827815,2.5,sim_44,2,2026-06-25 09:50:26
sim_294,0.5021845498224738,1782382062134,10.434632440431232,-68.45074266413717,2.5,us6000t7zc,1,2026-06-25 10:07:42
sim_242,0.502820139415545,1782382117049,10.421190425689655,-68.58357064533911,3.3,us6000t7zc,1,2026-06-25 10:08:37
sim_295,0.537300903597312,1782385096187,10.385632877058157,-68.51288730014235,2.2,us6000t7zc,1,2026-06-25 10:58:16
sim_200,0.5433011878475402,1782385614611,10.454280811140034,-68.53491111797527,2.6,us6000t7zp,1,2026-06-25 11:06:54
sim_208,0.5505609570389536,1782386241855,10.488908776832677,-68.6117497006352,2.6,us6000t7zp,1,2026-06-25 11:17:21
sim_308,0.5634907577740716,1782387358990,10.441409108957632,-68.51646342503709,2.2,us6000t7zc,1,2026-06-25 11:35:58
sim_144,0.6045150078406287,1782390903485,10.481282981286325,-68.51261917320848,2.1,us6000t7zp,1,2026-06-25 12:35:03
sim_107,0.6678547001623166,1782396376035,10.454145015576614,-68.45066865835405,2.0,us6000t7zp,1,2026-06-25 14:06:16
sim_124,0.6681311480235237,1782396399920,10.544761754341838,-68.48811856371704,2.8,us6000t7zp,1,2026-06-25 14:06:39
sim_207,0.6975312214296481,1782398940086,10.501512368731065,-68.31743600184905,2.0,us6000t7zp,1,2026-06-25 14:49:00
sim_78,0.7102038911229732,1782400035005,10.457075293474675,-68.5222304954273,2.3,us6000t7zp,1,2026-06-25 15:07:15
sim_309,0.7715747162733709,1782405337444,10.613069175630637,-68.57593863866319,2.2,us6000t7zc,1,2026-06-25 16:35:37
sim_305,0.7876268073704473,1782406724345,10.466152690021792,-68.49711162910246,2.7,us6000t7zc,1,2026-06-25 16:58:44
sim_31,0.8743906755743528,1782414220743,11.93323151792642,-68.39549506862204,2.1,us6000t7zp,1,2026-06-25 19:03:40
sim_339,0.8797470035896516,1782414683530,9.871291744509177,-67.55203659701873,2.3,sim_38,2,2026-06-25 19:11:23
sim_51,0.9105961099655179,1782417348892,10.376972196226795,-68.48193386315805,2.4,us6000t7zp,1,2026-06-25 19:55:48
sim_275,0.9517953098913681,1782420908503,10.46973094573549,-68.52119815500284,2.6,us6000t7zc,1,2026-06-25 20:55:08
sim_155,0.9855266093552516,1782423822888,10.426845380414404,-68.50694591833275,2.7,us6000t7zp,1,2026-06-25 21:43:42
sim_312,0.9910033584329171,1782424296079,10.250938256292129,-68.58563539138315,2.1,us6000t7zc,1,2026-06-25 21:51:36
sim_379,1.0055085620488506,1782425549328,9.848044096739246,-68.640714457006,2.6,sim_261,2,2026-06-25 22:12:29
sim_284,1.1131439482372156,1782434849026,10.444839649269518,-68.52983034006144,2.8,us6000t7zc,1,2026-06-26 00:47:29
sim_25,1.164740279155439,1782439306949,10.544998058533496,-68.45181327954919,2.0,us6000t7zp,1,2026-06-26 02:01:46
